age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
58,5,2,3,1,2000,2,1,2,5,200,1,-1,0,0,no
38,10,3,2,1,0,2,1,2,5,0,1,-1,0,0,no
28,3,2,2,1,0,2,2,2,5,0,1,-1,0,0,no
38,2,2,2,1,1000,2,1,2,5,0,1,-1,0,0,no
28,2,3,2,1,0,1,1,2,5,0,1,-1,0,0,no
28,5,2,3,1,0,2,1,2,5,0,1,-1,0,0,no
28,5,3,3,1,0,2,2,2,5,200,1,-1,0,0,no
38,3,1,3,2,0,2,1,2,5,200,1,-1,0,0,no
58,6,2,1,1,0,2,1,2,5,0,1,-1,0,0,no
38,1,1,2,1,0,2,1,2,5,200,1,-1,0,0,no
28,1,3,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,10,2,2,1,0,2,1,2,5,400,1,-1,0,0,no
58,10,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,8,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,6,2,1,1,0,2,1,2,5,200,1,-1,0,0,no
38,1,3,2,1,0,2,1,2,5,0,1,-1,0,0,no
48,2,2,1,1,0,2,1,2,5,0,1,-1,0,0,no
58,6,2,1,1,0,2,1,2,5,200,1,-1,0,0,no
28,8,2,2,1,0,2,1,2,5,0,1,-1,0,0,no
28,2,2,2,1,0,2,2,2,5,200,1,-1,0,0,no
48,5,2,3,1,0,2,1,2,5,0,1,-1,0,0,no
28,2,3,1,1,0,2,2,2,5,0,1,-1,0,0,no
18,8,2,2,1,0,2,1,2,5,200,1,-1,0,0,no
38,6,2,1,1,0,2,2,2,5,0,1,-1,0,0,no
38,1,2,2,1,-1000,2,1,2,5,0,1,-1,0,0,no
38,5,3,3,1,0,2,1,2,5,200,1,-1,0,0,no
48,3,2,2,1,0,2,2,2,5,0,1,-1,0,0,no
38,5,3,2,1,-1000,2,1,2,5,200,2,-1,0,0,no
28,10,3,2,1,0,2,2,2,5,200,1,-1,0,0,no
48,10,2,2,1,0,1,2,2,5,200,1,-1,0,0,no
48,5,2,3,1,0,2,1,2,5,200,1,-1,0,0,no
58,1,2,2,1,0,2,2,2,5,200,1,-1,0,0,no
